Frame;Time(s);FPS;FrameTimeMs;MonoRamMB;AllocatedRamMB;ReservedRamMB
1;0,00;0,27;3674,43;689,80;881,86;1570,35
2;0,02;0,40;2478,45;690,86;906,88;1570,35
3;0,11;0,40;2478,45;690,89;906,82;1570,35
4;0,13;0,40;2478,45;690,89;906,77;1570,35
5;0,13;0,40;2478,45;690,89;906,78;1570,35
6;0,14;0,40;2478,45;690,89;906,78;1570,35
7;0,15;0,40;2478,45;690,89;906,78;1570,35
8;0,15;0,40;2478,45;690,89;906,78;1570,35
9;0,17;0,40;2478,45;690,89;906,78;1570,35
10;0,18;0,40;2478,45;690,89;906,77;1570,35
11;0,19;0,40;2478,45;690,89;906,77;1570,35
12;0,20;0,40;2478,45;690,89;906,77;1570,35
13;0,20;0,40;2478,45;690,89;906,77;1570,35
14;0,21;0,40;2478,45;690,89;906,77;1570,35
15;0,22;0,40;2478,45;690,89;906,77;1570,35
16;0,23;0,40;2478,45;690,89;906,77;1570,35
17;0,23;0,40;2478,45;690,89;906,70;1570,35
18;0,24;0,40;2478,45;690,89;906,72;1570,35
19;0,25;0,40;2478,45;690,89;906,72;1570,35
20;0,26;0,40;2478,45;690,89;906,72;1570,35
21;0,26;0,40;2478,45;690,89;906,72;1570,35
22;0,27;0,40;2478,45;690,89;906,72;1570,35
23;0,28;0,40;2478,45;690,89;906,72;1570,35
24;0,29;0,40;2478,45;690,89;906,73;1570,35
25;0,29;0,40;2478,45;690,89;906,73;1570,35
26;0,30;0,40;2478,45;690,89;906,73;1570,35
27;0,31;0,40;2478,45;690,89;906,73;1570,35
28;0,31;0,40;2478,45;690,89;906,73;1570,35
29;0,32;0,40;2478,45;690,89;906,73;1570,35
30;0,33;0,40;2478,45;690,89;906,73;1570,35
31;0,33;0,40;2478,45;690,89;906,73;1570,35
32;0,34;0,40;2478,45;690,89;906,73;1570,35
33;0,35;0,40;2478,45;690,89;906,73;1570,35
34;0,35;0,40;2478,45;690,89;906,73;1570,35
35;0,36;97,44;10,26;690,89;906,72;1570,35
36;0,37;97,44;10,26;690,89;906,74;1570,35
37;0,37;97,44;10,26;690,89;906,74;1570,35
38;0,38;97,44;10,26;690,89;906,74;1570,35
39;0,39;97,44;10,26;690,89;906,74;1570,35
40;0,39;97,44;10,26;690,89;906,74;1570,35
41;0,40;97,44;10,26;690,89;906,74;1570,35
42;0,41;97,44;10,26;690,89;906,74;1570,35
43;0,41;97,44;10,26;690,89;906,74;1570,35
44;0,42;97,44;10,26;690,89;906,75;1570,35
45;0,43;97,44;10,26;690,89;906,75;1570,35
46;0,43;97,44;10,26;690,89;906,75;1570,35
47;0,44;97,44;10,26;690,89;906,75;1570,35
48;0,45;97,44;10,26;690,89;906,75;1570,35
49;0,45;97,44;10,26;690,89;906,75;1570,35
50;0,46;97,44;10,26;690,89;906,75;1570,35
51;0,47;97,44;10,26;690,89;906,75;1570,35
52;0,47;97,44;10,26;690,89;906,75;1570,35
53;0,48;97,44;10,26;690,89;906,75;1570,35
54;0,49;97,44;10,26;690,89;906,73;1570,35
55;0,49;97,44;10,26;690,89;906,75;1570,35
56;0,50;97,44;10,26;690,89;906,76;1570,35
57;0,51;97,44;10,26;690,89;906,76;1570,35
58;0,51;97,44;10,26;690,89;906,76;1570,35
59;0,52;97,44;10,26;690,89;906,76;1570,35
60;0,53;97,44;10,26;690,89;906,76;1570,35
61;0,53;97,44;10,26;690,89;906,76;1570,35
62;0,54;97,44;10,26;690,89;906,76;1570,35
63;0,55;97,44;10,26;690,89;906,76;1570,35
64;0,55;97,44;10,26;690,89;906,76;1570,35
65;0,56;97,44;10,26;690,89;906,76;1570,35
66;0,57;97,44;10,26;690,89;906,76;1570,35
67;0,57;97,44;10,26;690,89;906,77;1570,35
68;0,58;97,44;10,26;690,89;906,77;1570,35
69;0,58;97,44;10,26;690,89;906,77;1570,35
70;0,59;97,44;10,26;690,89;906,77;1570,35
71;0,60;97,44;10,26;690,89;906,77;1570,35
72;0,61;97,44;10,26;690,89;906,75;1570,35
73;0,61;97,44;10,26;690,89;906,77;1570,35
74;0,62;97,44;10,26;690,89;906,77;1570,35
75;0,63;97,44;10,26;690,89;906,77;1570,35
76;0,63;97,44;10,26;690,89;906,77;1570,35
77;0,64;97,44;10,26;690,89;906,77;1570,35
78;0,65;97,44;10,26;690,89;906,78;1570,35
79;0,65;97,44;10,26;690,89;906,78;1570,35
80;0,66;97,44;10,26;690,89;906,78;1570,35
81;0,67;97,44;10,26;690,89;906,78;1570,35
82;0,67;97,44;10,26;690,89;906,78;1570,35
83;0,68;97,44;10,26;690,89;906,78;1570,35
84;0,69;97,44;10,26;690,89;906,78;1570,35
85;0,70;148,46;6,74;690,89;906,78;1570,35
86;0,70;148,46;6,74;690,89;906,78;1570,35
87;0,71;148,46;6,74;690,89;906,78;1570,35
88;0,71;148,46;6,74;690,89;906,78;1570,35
89;0,72;148,46;6,74;690,89;906,78;1570,35
90;0,73;148,46;6,74;690,89;906,79;1570,35
